Player,Position,Team,Market
Chester,Defender,4,6
Elphick,Defender,4,3
Jordan Amavi,Defender,4,10
Cissoko ,Defender,4,2
Richard,Midfilder,4,4.5
Mile,Midfilder,4,5
Westhood,Midfilder,4,4
Arron,Midfilder,4,3
Gardner,Midfilder,4,2
Grelish,Midfilder,4,4.5
Ross  ,Forward,4,10
Jonathon,Forward,4,10
Ayew,Forward,4,7.5
Rudy,Forward,4,7
Pantillimon,GK,4,4.5
Christain,Defender,4,6
Sebestian ,Defender,4,4
Criag,Defender,4,4
Younes,Defender,4,2.5
kendy,Defender,4,8
Daryl,Defender,4,7.5
Capoue,Midfilder,4,9
Valon,Midfilder,4,2.5
Abdoloye,Midfilder,4,6
Pereyra,Midfilder,4,16
Nordin,Midfilder,4,4.5
Issac,Midfilder,4,4
Odion,Forward,4,12
Troy,Forward,4,11
Okaka,Forward,4,6.5
Vito,GK,4,2.5
Lamine,Defender,4,6
Pepy,Defender,4,4.5
Jason,Defender,4,4
Patrick,Defender,4,4
Van anholot,Defender,4,6
John oshea,Defender,4,1
Jaiver,Defender,4,5
Jack rodwell,Midfilder,4,7
Didier,Midfilder,4,5
Cattermole,Midfilder,4,3.5
Kirchoff,Midfilder,4,3
Wabhi,Midfilder,4,9
Adnan,Midfilder,4,7
Fabio,Forward,4,6
watmore,Forward,4,2.5
Defoe,Forward,4,6.5
Boruc,GK,4,1
Cook,Defender,4,5
Ake,Defender,4,5
Wilson,Defender,4,3
Mings,Defender,4,6
Francis,Defender,4,2.5
Adam,Defender,4,2
Cook,Midfilder,4,5
Gosling,Midfilder,4,3
Emerson,Midfilder,4,1
Gradel,Midfilder,4,9
Junior,Midfilder,4,4
Ibe ,Forward,4,10
King,Forward,4,4
Afobe,Forward,4,9
Willson,Forward,4,9
Mouset,Forward,4,5
Grabben,Forward,4,3
